id,first_name,last_name,birth_date,death_date,place_of_birth,wikipedia_url,start_mandate,end_mandate,first_paragraph
Q14998,Camille,Huysmans,1871-05-26,1968-02-25,Bilzen,https://nl.wikipedia.org/wiki/Camille_Huysmans,1946-08-03,1947-03-20,"Jean Joseph Camille Huysmans, geboren als Camiel Hansen, was een Belgisch journalist en socialistisch politicus voor de BWP / BSP."
Q14999,Gaston,Eyskens,1905-04-01,1988-01-03,Lier,https://nl.wikipedia.org/wiki/Gaston_Eyskens,1968-07-17,1973-01-26,Gaston François Marie burggraaf Eyskens was drie maal christendemocratisch eerste minister van België in de periode tussen 1949 en 1973. Hij was de eerste Belgische regeringsleider die geboren was in de 20e eeuw.
Q15002,Leo,Tindemans,1922-04-16,2014-12-26,Zwijndrecht,https://nl.wikipedia.org/wiki/Leo_Tindemans,1974-04-25,1978-10-20,"Leonard Clemence Tindemans was een Belgisch politicus voor de CVP en minister van staat. Hij was eerste minister van twee regeringen in België en behaalde het grootste aantal voorkeurstemmen in de Belgische geschiedenis bij de Europese verkiezingen van 1979. Daardoor kreeg hij de bijnaam ""de man van 1 miljoen stemmen""."
Q15048,Elio,Di Rupo,1951-07-18,,Morlanwelz,https://nl.wikipedia.org/wiki/Elio_Di_Rupo,2011-12-06,2014-10-11,Elio Di Rupo is een Belgische politicus voor de Parti Socialiste . Van 6 december 2011 tot 11 oktober 2014 was hij premier van België en werd meermaals minister en minister-president van de Waalse Regering.
Q15056,Jean-Luc,Dehaene,1940-08-07,2014-05-15,Montpellier,https://nl.wikipedia.org/wiki/Jean-Luc_Dehaene,1992-03-07,1999-07-12,Jean Luc Joseph Marie Dehaene uitspraakⓘ was van 1992 tot 1999 premier van België. Hij was lid van de toenmalige CVP . Onder zijn regering werd België een volwaardige federale staat. Dehaene leidde twee coalitieregeringen met de socialisten en bekleedde verschillende ministerposten voor hij in 1992 eerste minister werd. Van 2000 tot 2007 was hij burgemeester van Vilvoorde. In 2002 werd hij voorgedragen als vicevoorzitter van de Europese Conventie.
Q15956,Frans,Schollaert,1851-08-19,1917-06-29,Wilsele,https://nl.wikipedia.org/wiki/Frans_Schollaert,1908-01-09,1911-06-17,François Victor Marie Ghislain Schollaert was een Belgisch katholiek politicus.
Q143202,Pieter,Decker,1812-01-25,1891-01-04,Zele,https://nl.wikipedia.org/wiki/Pieter_de_Decker,1855-03-30,1857-11-09,Pierre Jacques François de Decker was een Belgisch politicus en auteur.
Q155691,Paul-Henri,Spaak,1899-01-25,1972-07-31,Schaerbeek - Schaarbeek,https://nl.wikipedia.org/wiki/Paul-Henri_Spaak,1947-03-20,1949-08-11,Paul-Henri Charles Spaak uitspraakⓘ was een Belgisch socialistisch politicus en regeringsleider.
Q202049,Auguste,Beernaert,1829-07-26,1912-10-06,Ostend,https://nl.wikipedia.org/wiki/Auguste_Beernaert,1884-10-26,1894-03-26,Auguste Marie François Beernaert was een Belgisch katholiek politicus en mensenrechtenactivist. In 1909 won hij de Nobelprijs voor de Vrede.
Q221781,Théodore,Lefèvre,1914-01-17,1973-09-18,Ghent,https://nl.wikipedia.org/wiki/Th%C3%A9o_Lef%C3%A8vre,1961-04-25,1965-07-28,"Théodore Joseph Albéric Marie Lefèvre was een Belgisch politicus. Hij was premier van België van 1961 tot 1965, aan het hoofd van de regering Lefèvre-Spaak."
Q250021,Paul,None,1919-05-22,2001-01-09,Forest,https://nl.wikipedia.org/wiki/Paul_Vanden_Boeynants,1978-10-20,1979-04-03,"Paul Emile François Henri Vanden Boeynants, in de media en door hemzelf bijgenaamd 'VDB', was een Belgisch volksvertegenwoordiger, minister en premier. Als ondernemer was hij actief in de vleesindustrie."
Q289570,Étienne,Gerlache,1785-12-26,1871-02-10,Château of Biourge,https://nl.wikipedia.org/wiki/Etienne_de_Gerlache,1831-02-27,1831-03-10,"Etienne Constantin baron de Gerlache was advocaat, politicus en magistraat in het Verenigd Koninkrijk der Nederlanden en in België."
Q313809,Wilfried,Martens,1936-04-19,2013-10-09,Sleidinge,https://nl.wikipedia.org/wiki/Wilfried_Martens,1981-12-17,1992-03-07,Wilfried Achiel Emma Martens uitspraakⓘ was een Vlaams-Belgische politicus voor de CD&V en was van april 1979 tot maart 1992 eerste minister van België.
Q349477,Mark,Eyskens,1933-04-29,,Leuven,https://nl.wikipedia.org/wiki/Mark_Eyskens,1981-04-06,1981-12-17,"Marc Maria Frans burggraaf Eyskens is een Belgische emeritus hoogleraar, econoom, politicus en essayist. Van april tot december 1981 was hij premier van België."
Q363942,Pierre,Harmel,1911-03-16,2009-11-15,Uccle,https://nl.wikipedia.org/wiki/Pierre_Harmel,1965-07-28,1966-03-19,"Pierre Charles José Marie graaf Harmel was een Belgisch advocaat, hoogleraar en christendemocratisch staatsman."
Q442578,Hubert,Pierlot,1883-12-23,1963-12-13,Bertrix,https://nl.wikipedia.org/wiki/Hubert_Pierlot,1939-02-22,1945-02-12,Hubert Marie Eugène Pierlot was de Belgische eerste minister van 1939 tot 1945.
Q446472,Jean-Baptiste,Nothomb,1805-07-03,1881-09-16,Messancy,https://nl.wikipedia.org/wiki/Jean-Baptiste_Nothomb,1841-04-13,1845-07-30,Jean Baptiste Nothomb was een Belgisch staatsman en diplomaat die een belangrijke rol speelde bij het tot stand komen van de Belgische staat. Zo was hij een van de opstellers van de Belgische grondwet en onderhandelde hij over de verdragen die de Belgische onafhankelijkheid garandeerden.
Q461745,Edmond,None,1915-04-18,1997-06-15,Lantremange,https://nl.wikipedia.org/wiki/Edmond_Leburton,1973-01-26,1974-04-25,Edmond Jules Isidore Leburton was een Belgisch politicus voor de PSB.
Q461753,Jean,None,1900-04-10,1977-10-11,Frasnes-lez-Gosselies,https://nl.wikipedia.org/wiki/Jean_Duvieusart,1950-06-08,1950-08-16,Jean Pierre Armand Ghislain Marie Duvieusart was een Belgisch advocaat en katholiek politicus.
Q468104,Joseph,Lebeau,1794-01-03,1865-03-19,Huy,https://nl.wikipedia.org/wiki/Joseph_Lebeau,1840-04-18,1841-04-13,"Jean Louis Joseph Lebeau was lid van het Nationaal Congres, Belgisch liberaal volksvertegenwoordiger en eerste minister."
Q468109,Charles,Rogier,1800-08-17,1885-05-27,Saint-Quentin,https://nl.wikipedia.org/wiki/Charles_Rogier,1857-11-09,1868-01-03,Charles Latour Rogier was een Belgisch politicus en een van de grondleggers van de Belgische staat.
Q472257,Barthélemy,None,1794-02-26,1874-08-24,Kasteel van Schabroek,https://nl.wikipedia.org/wiki/Barth%C3%A9lemy_de_Theux_de_Meylandt,1871-12-07,1874-08-21,"Barthélemy-Théodore graaf de Theux de Meylandt was een Belgisch staatsman, eerste minister en lid van het Nationaal Congres."
Q472276,Felix,None,1793-04-05,1862-08-05,Pittem,https://nl.wikipedia.org/wiki/Felix_de_M%C3%BBelenaere,1831-07-24,1832-10-20,Felix Amandus de Mûelenaere was een Belgisch unionistisch politicus.
Q476596,Alexander,De Croo,1975-11-03,,Vilvoorde,https://nl.wikipedia.org/wiki/Alexander_De_Croo,2020-10-01,,Alexander Francis Herman De Croo is een Belgisch politicus voor Open Vld. Sedert 1 oktober 2020 is De Croo premier van België van de zogenaamde Vivaldicoalitie. Hij volgde Sophie Wilmès op en is de eerste Vlaamse premier in iets minder dan 10 jaar.
Q527479,Henri,de Brouckère,1801-01-25,1891-01-25,Bruges,https://nl.wikipedia.org/wiki/Henri_de_Brouck%C3%A8re,1852-10-31,1855-03-30,"Henri Ghislain Joseph Marie Hyacinthe de Brouckère was een Belgisch liberaal politicus. Hij was onder meer eerste minister, volksvertegenwoordiger en lid van het Belgisch Nationaal Congres."
Q533339,Albert,None,1790-05-26,1873-05-05,Tournai,https://nl.wikipedia.org/wiki/Albert_Goblet_d%27Alviella,1832-10-20,1834-08-04,"Albert Joseph Goblet, sinds 1838 graaf Goblet d'Alviella was een Belgisch politicus en officier."
Q546727,Sylvain,Weyer,1802-01-19,1874-05-23,Leuven,https://nl.wikipedia.org/wiki/Sylvain_Van_de_Weyer,1845-07-30,1846-03-31,"Jean-Sylvain Van de Weyer, beter bekend als Sylvain Van de Weyer, was een van de grondleggers van de Belgische Staat, en later ook eerste minister."
Q569138,Jules,Burlet,1844-04-10,1897-03-01,Ixelles - Elsene,https://nl.wikipedia.org/wiki/Jules_de_Burlet,1894-03-26,1896-02-25,Jules Philippe Marie de Burlet was een Belgisch katholiek politicus.
Q665955,Paul-Émile,None,1872-05-30,1944-03-03,Brussels metropolitan area,https://nl.wikipedia.org/wiki/Paul-Emile_Janson,1937-11-24,1938-05-15,Paul-Emile Janson was de Belgische eerste minister van november 1937 tot mei 1938.
Q678535,Jules,Malou,1810-10-19,1886-07-11,Ypres,https://nl.wikipedia.org/wiki/Jules_Malou,1884-06-16,1884-10-26,"Jules Edouard François-Xavier Malou was een Belgisch politicus. Hij was onder meer leider van de Katholieke Partij, volksvertegenwoordiger, senator en eerste minister."
Q705103,Charles,Broqueville,1860-12-04,1940-09-05,Postel,https://nl.wikipedia.org/wiki/Charles_de_Broqueville,1932-10-22,1934-11-20,"Charles Marie Pierre Albert graaf de Broqueville, 4 december 1860 - Brussel, 5 september 1940) was de Belgische kabinetsleider tijdens de Eerste Wereldoorlog en eerste minister van 22 oktober 1932 tot 20 november 1934. Hij was lid van de Katholieke Partij."
Q705111,Joseph,Pholien,1884-12-28,1968-01-04,Liège,https://nl.wikipedia.org/wiki/Joseph_Pholien,1950-08-16,1952-01-15,Joseph Clovis Louis Marie Emmanuel Pholien was een Belgisch politicus van de PSC.
Q705128,Jean,Van Houtte,1907-03-17,1991-05-23,Ghent,https://nl.wikipedia.org/wiki/Jean_Van_Houtte,1952-01-15,1954-04-23,"Jean Maria Josephus baron Van Houtte was een Belgisch advocaat, hoogleraar en politicus van de CVP."
Q705791,Walthère,Frère,1812-04-22,1896-01-02,Liège,https://nl.wikipedia.org/wiki/Walth%C3%A8re_Fr%C3%A8re-Orban,1878-06-19,1884-06-16,Hubert Joseph Walthère Frère-Orban was een Belgisch liberaal politicus die zijn stempel heeft gedrukt op de eerste halve eeuw onafhankelijkheid van België.
Q719483,Gérard,Cooreman,1852-03-25,1926-12-02,Ghent,https://nl.wikipedia.org/wiki/Gerard_Cooreman,1918-06-01,1918-11-21,Gérard François Marie Cooreman was een Belgisch advocaat en politicus voor de katholieke Partij.
Q721772,Jules,Vandenpeereboom,1843-03-18,1917-03-06,Kortrijk,https://nl.wikipedia.org/wiki/Jules_Vandenpeereboom,1899-01-24,1899-08-05,Jules Pierre Henri François Xavier Vandenpeereboom was een Belgisch katholiek politicus.
Q721781,Paul,None,1843-05-13,1913-09-09,Ghent,https://nl.wikipedia.org/wiki/Paul_de_Smet_de_Naeyer,1899-08-05,1907-05-02,Paul Joseph graaf de Smet de Naeyer was een Belgisch katholiek politicus.
Q721798,Jules,Trooz,1857-02-21,1907-12-31,Leuven,https://nl.wikipedia.org/wiki/Jules_de_Trooz,1907-05-02,1907-12-31,Baron Jules Henri Ghislain Marie de Trooz was een Belgisch katholiek politicus.
Q725589,Jules,d'Anethan,1803-04-23,1888-10-08,Brussels metropolitan area,https://nl.wikipedia.org/wiki/Jules_Joseph_d%27Anethan,1870-07-02,1871-12-07,Jules Joseph d'Anethan was een Belgisch politicus. Hij was premier van 2 juli 1870 tot 7 december 1871.
Q950958,Charles,Michel,1975-12-21,,Namur,https://nl.wikipedia.org/wiki/Charles_Michel,2014-10-11,2019-10-27,"Charles Yves Jean Ghislaine Michel is een Belgisch politicus voor de partij Mouvement Réformateur . Van 11 oktober 2014 tot 27 oktober 2019 was hij premier van België in de regeringen Michel I en Michel II. Op 2 juli 2019 werd hij verkozen als voorzitter van de Europese Raad, in opvolging van Donald Tusk, een functie die hij sinds 1 december 2019 uitoefent."
Q18434995,Sophie,Wilmès,1975-01-15,,Ixelles - Elsene,https://nl.wikipedia.org/wiki/Sophie_Wilm%C3%A8s,2019-10-27,2020-10-01,Sophie Wilmès is een Belgisch politica van de MR. Van 27 oktober 2019 tot 1 oktober 2020 was ze de eerste vrouwelijke premier van België. Sinds 1 oktober 2020 was ze vicepremier en minister van Buitenlandse Zaken en Buitenlandse Handel. Om familiale redenen legde ze op 21 april 2022 haar bevoegdheden als minister tijdelijk neer. Op 15 juli 2022 legde ze haar functie definitief neer.
