id,first_name,last_name,birth_date,death_date,place_of_birth,wikipedia_url,start_mandate,end_mandate,first_paragraph
Q11817,Andrew,Jackson,1767-03-15,1845-06-08,Waxhaws,https://en.wikipedia.org/wiki/Andrew_Jackson,1829-03-04,1837-03-04,"Andrew Jackson Jr was an American lawyer, planter, general, and statesman who served as the seventh president of the United States from 1829 to 1837. Before his presidency, he gained fame as a general in the U.S. Army and served in both houses of the U.S. Congress. Often praised as an advocate for ordinary Americans and for his work in preserving the union of states, Jackson has also been criticized for his racial policies, particularly his treatment of Native Americans."
Q11820,Martin,Van Buren,1782-12-05,1862-07-24,Kinderhook,https://en.wikipedia.org/wiki/Martin_Van_Buren,1837-03-04,1841-03-04,"Martin Van Buren vɑm ˈbyːrə] ⓘ; December 5, 1782 – July 24, 1862) was an American lawyer, diplomat, and statesman who served as the eighth president of the United States from 1837 to 1841. A primary founder of the Democratic Party, he served as New York's attorney general and U.S. senator, then briefly as the ninth governor of New York before joining Andrew Jackson's administration as the tenth United States secretary of state, minister to Great Britain, and ultimately the eighth vice president when named Jackson's running mate for the 1832 election. Van Buren won the presidency in 1836 against divided Whig opponents, the first president of non-Anglo-Saxon heritage and so far the only speaking English as a second language. Van Buren lost re-election in 1840, and failed to win the Democratic nomination in 1844. Later in his life, Van Buren emerged as an elder statesman and an important anti-slavery leader who led the Free Soil Party ticket in the 1848 presidential election."
Q11869,William,Harrison,1773-02-09,1841-04-04,Charles City County,https://en.wikipedia.org/wiki/William_Henry_Harrison,1841-03-04,1841-04-04,"William Henry Harrison was an American military officer and politician who served as the ninth president of the United States. Harrison died just 31 days after his inauguration as president in 1841, making his presidency the shortest in U.S. history. He was also the first U.S. president to die in office, causing a brief constitutional crisis since presidential succession was not then fully defined in the United States Constitution. Harrison was the last president born as a British subject in the Thirteen Colonies and was the paternal grandfather of Benjamin Harrison, the 23rd president of the United States."
Q11881,John,Tyler,1790-03-29,1862-01-18,Charles City County,https://en.wikipedia.org/wiki/John_Tyler,1841-04-04,1845-03-04,"John Tyler was an American politician who served as the tenth president of the United States from 1841 to 1845, after briefly holding office as the tenth vice president in 1841. He was elected vice president on the 1840 Whig ticket with President William Henry Harrison, succeeding to the presidency following Harrison's death 31 days after assuming office. Tyler was a stalwart supporter and advocate of states' rights, including regarding slavery, and he adopted nationalistic policies as president only when they did not infringe on the states' powers. His unexpected rise to the presidency posed a threat to the presidential ambitions of Henry Clay and other Whig politicians and left Tyler estranged from both of the nation's major political parties at the time."
Q11891,James,Polk,1795-11-02,1849-06-15,Pineville,https://en.wikipedia.org/wiki/James_K._Polk,1845-03-04,1849-03-04,"James Knox Polk was the 11th president of the United States, serving from 1845 to 1849. He also served as the 13th speaker of the House of Representatives from 1835 to 1839 and the ninth governor of Tennessee from 1839 to 1841. A protégé of Andrew Jackson, he was a member of the Democratic Party and an advocate of Jacksonian democracy. Polk is known for extending the territory of the United States through the Mexican–American War during his presidency, annexing the Republic of Texas, the Oregon Territory, and the Mexican Cession after winning the Mexican–American War."
Q11896,Zachary,Taylor,1784-11-24,1850-07-09,Barboursville,https://en.wikipedia.org/wiki/Zachary_Taylor,1849-03-04,1850-07-09,"Zachary Taylor was an American military leader who served as the 12th president of the United States from 1849 until his death in 1850. Taylor was a career officer in the United States Army, rising to the rank of major general and becoming a national hero for his victories in the Mexican–American War. As a result, he won election to the White House despite his vague political beliefs. His top priority as president was to preserve the Union. He died 16 months into his term from a stomach disease."
Q12306,Millard,Fillmore,1800-01-07,1874-03-08,Summerhill,https://en.wikipedia.org/wiki/Millard_Fillmore,1850-07-09,1853-03-04,"Millard Fillmore was the 13th president of the United States, serving from 1850 to 1853, the last to be a member of the Whig Party while in the White House. A former member of the U.S. House of Representatives from upstate New York, Fillmore was elected as the 12th vice president in 1848, and succeeded to the presidency in July 1850 upon the death of Zachary Taylor. Fillmore was instrumental in passing the Compromise of 1850, a bargain that led to a brief truce in the battle over the expansion of slavery. He failed to win the Whig nomination for president in 1852 but gained the endorsement of the nativist Know Nothing Party four years later and finished third in the 1856 presidential election."
Q12312,Franklin,Pierce,1804-11-23,1869-10-08,Hillsborough,https://en.wikipedia.org/wiki/Franklin_Pierce,1853-03-04,1857-03-04,"Franklin Pierce was an American politician who served as the 14th president of the United States from 1853 to 1857. A northern Democrat who believed that the abolitionist movement was a fundamental threat to the nation's unity, he alienated anti-slavery groups by signing the Kansas–Nebraska Act and enforcing the Fugitive Slave Act. Conflict between North and South continued after Pierce's presidency, and, after Abraham Lincoln was elected president in 1860, the Southern states seceded, resulting in the American Civil War."
Q12325,James,Buchanan,1791-04-23,1868-06-01,Stony Batter,https://en.wikipedia.org/wiki/James_Buchanan,1857-03-04,1861-03-04,"James Buchanan Jr. was an American lawyer, diplomat, and politician. He served as the 15th president of the United States from 1857 to 1861, as the secretary of State from 1845 to 1849, and represented Pennsylvania in both houses of the U.S. Congress. He was an advocate for states' rights, particularly regarding slavery, and minimized the role of the federal government preceding the Civil War."
Q22686,Donald,Trump,1946-06-14,,Jamaica Hospital Medical Center,https://en.wikipedia.org/wiki/Donald_Trump,2017-01-20,2021-01-20,"Donald John Trump is an American politician, media personality, and businessman who served as the 45th president of the United States from 2017 to 2021."
Q23505,George,Bush,1924-06-12,2018-11-30,Milton,https://en.wikipedia.org/wiki/George_H._W._Bush,1989-01-20,1993-01-20,"George Herbert Walker Bush was an American politician, diplomat, and businessman who served as the 41st president of the United States from 1989 to 1993. A member of the Republican Party, he also served as the 43rd vice president from 1981 to 1989 under Ronald Reagan, and in various other federal positions prior to that."
Q23685,Jimmy,Carter,1924-10-01,,Lillian G. Carter Nursing Center,https://en.wikipedia.org/wiki/Jimmy_Carter,1977-01-20,1981-01-20,"James Earl Carter Jr. is an American politician and humanitarian who served as the 39th president of the United States from 1977 to 1981. A member of the Democratic Party, Carter was the 76th governor of Georgia from 1971 to 1975, and a Georgia state senator from 1963 to 1967. At age 99, he is both the oldest living former U.S. president and the longest-lived president in U.S. history."
Q33866,Theodore,Roosevelt,1858-10-27,1919-01-06,Manhattan,https://en.wikipedia.org/wiki/Theodore_Roosevelt,1901-09-14,1909-03-04,"Theodore Roosevelt Jr., often referred to as Teddy or by his initials, T. R., was an American politician, statesman, conservationist, naturalist, and writer who served as the 26th president of the United States from 1901 to 1909. He previously held various positions in New York politics, rising up the ranks to serve as the state's 33rd governor for two years. He later served as the 25th vice president under president William McKinley for six months in 1901, assuming the presidency after McKinley's assassination. As president, Roosevelt emerged as a leader of the Republican Party and became a driving force for anti-trust and Progressive policies."
Q34296,Woodrow,Wilson,1856-12-28,1924-02-03,Staunton,https://en.wikipedia.org/wiki/Woodrow_Wilson,1913-03-04,1921-03-04,"Thomas Woodrow Wilson was an American politician and academic who served as the 28th president of the United States from 1913 to 1921. A member of the Democratic Party, Wilson served as the president of Princeton University and as the governor of New Jersey before winning the 1912 presidential election. As president, Wilson changed the nation's economic policies and led the United States into World War I in 1917. He was the leading architect of the League of Nations, and his progressive stance on foreign policy came to be known as Wilsonianism."
Q34597,James,Garfield,1831-11-19,1881-09-19,Moreland Hills,https://en.wikipedia.org/wiki/James_A._Garfield,1881-03-04,1881-09-19,"James Abram Garfield was the 20th president of the United States, serving from March 1881 until his death the following September after being shot by an assassin in July. A lawyer and Civil War general, Garfield served nine terms in the United States House of Representatives and is the only sitting member of the House to be elected president. Before his candidacy for the presidency, he had been elected to the U.S. Senate by the Ohio General Assembly—a position he declined when he became president-elect."
Q34836,Ulysses,Grant,1822-04-27,1885-07-23,Point Pleasant,https://en.wikipedia.org/wiki/Ulysses_S._Grant,1869-03-04,1877-03-04,"Ulysses S. Grant was an American military officer and politician who served as the 18th president of the United States from 1869 to 1877. As commanding general, he led the Union Army to victory in the American Civil War in 1865 and thereafter briefly served as U.S. secretary of war. As president, Grant was an effective civil rights executive who signed the bill that created the Justice Department and worked with Radical Republicans to protect African Americans during Reconstruction."
Q35041,William,McKinley,1843-01-29,1901-09-14,Niles,https://en.wikipedia.org/wiki/William_McKinley,1897-03-04,1901-09-14,"William McKinley was an American politician who served as the 25th president of the United States from 1897 until his assassination in 1901. A member of the Republican Party, he led a realignment that made Republicans largely dominant in the industrial states and nationwide for decades. He presided over victory in the Spanish–American War of 1898; gained control of Hawaii, Puerto Rico, the Philippines and Cuba; restored prosperity after a deep depression; rejected the inflationary monetary policy of free silver, keeping the nation on the gold standard; and raised protective tariffs."
Q35171,Stephen,Cleveland,1837-03-18,1908-06-24,Caldwell,https://en.wikipedia.org/wiki/Grover_Cleveland,1893-03-04,1897-03-04,"Stephen Grover Cleveland was an American politician who served as the 22nd and 24th president of the United States from 1885 to 1889 and from 1893 to 1897. He is the only president in U.S. history to serve non-consecutive presidential terms. In the years before his presidency, he served as a mayor and governor of New York state, winning fame as an anti-corruption crusader. Cleveland was the first Democrat to win the presidency after the Civil War, and was one of two Democrat presidents, followed by Woodrow Wilson in 1912, in an era when Republicans dominated the presidency between 1861 and 1933. He won the popular vote in three presidential elections—1884, 1888, and 1892. Benjamin Harrison won the electoral college vote, and thus the presidency, in 1888."
Q35236,Herbert,Hoover,1874-08-10,1964-10-20,West Branch,https://en.wikipedia.org/wiki/Herbert_Hoover,1929-03-04,1933-03-04,"Herbert Clark Hoover was an American politician who served as the 31st president of the United States from 1929 to 1933. A member of the Republican Party, he held office during the onset of the Great Depression. A wealthy mining engineer before his presidency, Hoover led the wartime Commission for Relief in Belgium, served as the director of the U.S. Food Administration, and served as the U.S. secretary of commerce."
Q35286,Warren,Harding,1865-11-02,1923-08-02,Blooming Grove,https://en.wikipedia.org/wiki/Warren_G._Harding,1921-03-04,1923-08-02,"Warren Gamaliel Harding was an American politician who served as the 29th president of the United States from 1921 until his death in 1923. A member of the Republican Party, he was one of the most popular sitting U.S. presidents. After his death, a number of scandals were exposed, including Teapot Dome, as well as an extramarital affair with Nan Britton, which tarnished his reputation."
Q35498,Chester,Arthur,1829-10-05,1886-11-18,Fairfield,https://en.wikipedia.org/wiki/Chester_A._Arthur,1881-09-19,1885-03-04,"Chester Alan Arthur was an American politician who served as the 21st president of the United States from 1881 to 1885. He was a Republican lawyer from New York who briefly served as the 20th vice president under President James A. Garfield. Arthur assumed the presidency after Garfield's death on September 19, 1881, and served the remainder of his term until March 4, 1885."
Q35648,William,Taft,1857-09-15,1930-03-08,Cincinnati,https://en.wikipedia.org/wiki/William_Howard_Taft,1909-03-04,1913-03-04,"William Howard Taft was the 27th president of the United States, serving from 1909 to 1913, and the tenth chief justice of the United States, serving from 1921 to 1930, the only person to have held both offices. Taft was elected president in 1908, the chosen successor of Theodore Roosevelt, but was defeated for reelection in 1912 by Woodrow Wilson after Roosevelt split the Republican vote by running as a third-party candidate. In 1921, President Warren G. Harding appointed Taft to be chief justice, a position he held until a month before his death."
Q35678,Benjamin,Harrison,1833-08-20,1901-03-13,North Bend,https://en.wikipedia.org/wiki/Benjamin_Harrison,1889-03-04,1893-03-04,"Benjamin Harrison was an American politician who served as the 23rd president of the United States from 1889 to 1893. He was a member of the Harrison family of Virginia—a grandson of the ninth president, William Henry Harrison, and a great-grandson of Benjamin Harrison V, a Founding Father."
Q35686,Rutherford,Hayes,1822-10-04,1893-01-17,Delaware,https://en.wikipedia.org/wiki/Rutherford_B._Hayes,1877-03-04,1881-03-04,"Rutherford Birchard Hayes was an American military officer and politician from the state of Ohio. A Republican, Hayes served as the 19th president of the United States from 1877 to 1881."
Q36023,John,Coolidge,1872-07-04,1933-01-05,Plymouth Notch,https://en.wikipedia.org/wiki/Calvin_Coolidge,1923-08-02,1929-03-04,Calvin Coolidge was an American attorney and politician who served as the 30th president of the United States from 1923 to 1929.
